customer_id,lat,lon,priority
C1,18.894807,72.755246,High
C2,19.19969,73.152226,High
C3,18.916705,72.781622,Low
C4,19.089733,72.918937,Low
C5,19.169744,72.708643,High
C6,18.837762,72.82353,Medium
C7,18.979487,73.055268,Medium
C8,19.148608,73.09269,Low
C9,18.924845,72.772781,Low
C10,19.097374,72.858963,High
C11,18.758077,72.687229,Medium
C12,19.324722,73.134239,Medium
C13,18.970663,73.06168,Low
C14,18.881773,72.766061,Low
C15,19.15018,72.799935,Low
C16,19.20295,72.944788,High
C17,18.906299,72.749118,High
C18,19.094599,72.859418,Low
C19,19.226257,72.750565,Low
C20,18.955405,73.005974,Low
C21,19.242368,72.997425,Medium
C22,18.907106,72.764463,High
C23,19.021512,72.572169,Medium
C24,19.137472,72.723172,High
C25,18.880512,72.743847,Medium
C26,18.964123,72.73315,High
C27,19.006038,73.028769,Low
C28,19.335363,72.736611,Low
C29,19.255162,73.039381,Low
C30,19.371704,73.170645,Low
C31,18.917738,72.796117,Medium
C32,19.278372,72.947273,High
C33,19.297216,73.212289,Low
C34,18.815874,72.860398,Low
C35,19.09789,72.855092,High
C36,19.254686,73.010607,Low
C37,18.922483,73.051436,High
C38,18.874991,72.811702,High
C39,18.934222,72.795978,High
C40,18.903311,72.768821,High
C41,19.219561,72.753281,Low
C42,19.237753,72.944525,High
C43,19.197186,72.762177,Low
C44,18.940955,72.795699,High
C45,19.209938,72.993973,High
C46,19.234372,72.989274,Low
C47,19.11669,72.8099,High
C48,19.156413,72.744711,High
C49,18.919452,72.775529,Medium
C50,19.057781,72.848232,High
C51,18.863045,72.759803,Low
C52,18.865379,72.759803,Low
C53,19.092851,72.886979,Low
C54,19.167172,73.038344,Low
C55,19.088024,72.880766,Low
C56,19.066554,72.899022,Low
C57,18.89308,72.80475,Low
C58,19.195768,72.78352,High
C59,19.175908,72.87673,High
C60,19.069343,72.947185,High
C61,18.984669,72.638123,Low
C62,19.154174,73.218763,Low
C63,19.062484,72.919857,High
C64,18.895169,72.760281,Medium
